WeekNumber,CollectionDate,SpawnYear,MasterID,BioSamplesID,Rear,SRR,LGDMarkAD,LGDFLmm,GenSex,GenStock,MPG,GenStockProb,GenParentHatchery,GenBY,BioScaleFinalAge,FwAge,SwAge,Age,totalAge,BY,BiosamplesValid,LGDValid,LGDNumPIT
28,7/6/2010,SY2011,66127,10-21001,W,32W,AI,690,NA,LOCLWR,CLRWTR,0.77,,,2:2,2,2,F2S2,5,BY2006,1,1,3D9.1C2D58C50F
28,7/6/2010,SY2011,66128,10-21002,W,32W,AI,690,F,MFSALM,SALMON,0.989,,,3:2,3,2,F3S2,6,BY2005,1,1,3D9.1C2D58BE9B
28,7/6/2010,SY2011,66129,10-21003,W,32W,AI,670,F,LOCLWR,CLRWTR,0.507,,,2:2,2,2,F2S2,5,BY2006,1,1,3D9.1C2D569156
28,7/6/2010,SY2011,66130,10-21004,W,32W,AI,620,F,MFSALM,SALMON,0.927,,,?:1,NA,NA,NA,NA,NA,1,1,3D9.1BF26F7D9B
28,7/6/2010,SY2011,66131,10-21005,W,32W,AI,730,F,LOSALM,SALMON,0.692,,,2:2,2,2,F2S2,5,BY2006,1,1,3D9.1C2D56B4EF
28,7/7/2010,SY2011,66132,10-21006,W,32W,AI,700,F,GRROND,GRROND,0.874,,,?:2,NA,NA,NA,NA,NA,1,1,3D9.1C2D59252C
28,7/7/2010,SY2011,66133,10-21007,W,32W,AI,650,M,LOSALM,SALMON,0.506,,,2:2,2,2,F2S2,5,BY2006,1,1,3D9.1C2D580E33
28,7/7/2010,SY2011,66134,10-21008,W,32W,AI,670,F,IMNAHA,IMNAHA,0.683,,,2:2,2,2,F2S2,5,BY2006,1,1,3D9.1C2D581356
28,7/7/2010,SY2011,66135,10-21009,W,32W,AI,670,F,LOSALM,SALMON,0.365,,,3:2,3,2,F3S2,6,BY2005,1,1,3D9.1C2D5926E6
28,7/8/2010,SY2011,66136,10-21010,W,32W,AI,690,F,IMNAHA,IMNAHA,0.273,,,3:2,3,2,F3S2,6,BY2005,1,1,3D9.1C2D56E9B8
28,7/8/2010,SY2011,66137,10-21011,W,32W,AI,760,F,UPSALM,SALMON,0.453,,,2:2,2,2,F2S2,5,BY2006,1,1,3D9.1C2D57206F
28,7/9/2010,SY2011,66138,10-21012,W,32W,AI,690,F,GRROND,GRROND,0.907,,,?:2,NA,NA,NA,NA,NA,1,1,3D9.1C2D581676
28,7/9/2010,SY2011,66139,10-21013,W,32W,AI,740,F,UPSALM,SALMON,0.905,,,2:2,2,2,F2S2,5,BY2006,1,1,3D9.1C2D5715F7
